course_id,credits,course_name_zh,course_name_en,instructor_zh,instructor_en,department_zh,department_en,time,time_en,location,course_type,language,is_core,changes,notes
000347051,3.0,財務管理,Financial Management,邱健嘉,CHIOU JIAN-JIA,財管系,Department of Finance,四D56,thu13-16,學思040103,選/Elective,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟、初會一學年；英語授課；企管二甲優先
000347061,3.0,財務管理,Financial Management,車倫周,Cha Yunju,財管系,Department of Finance,三D56,wed13-16,商館260210,選/Elective,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟、初會一年，英語授課，國貿二乙優先，本課程不加簽。
000347071,3.0,財務管理,Financial Management,車倫周,Cha Yunju,財管系,Department of Finance,五234,fri09-12,商館260206,選/Elective,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年，英語授課，本課程不加簽。
000347091,3.0,財務管理,Financial Management,湛可南,CHAN KONAN,財管系,Department of Finance,四234,thu09-12,商館260207,選/Elective,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟、初會一學年；英語授課；金融二優先；本課程不加簽
000347101,3.0,財務管理,Financial Management,蔡政憲,TSAI CHENG-HSIEN,財管系,Department of Finance,一D56,mon13-16,商館260105,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年。風管二優先。
000347121,3.0,財務管理,Financial Management,林基煌、屠美亞,LIN CHI-HUANG/TWU MIA,財管系,Department of Finance,三234,wed09-12,學思040202,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年
000348001,3.0,管理學,Management,胡昌亞,HU CHANG-YA,企管系,Department of Business Administration,二234,tue09-12,資訊140306,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:時間異動於2024/08/07;教室異動於2024/08/07;,＠備註Note:企管系專班，限本系生及雙修生（系統無法選課，雙修生請採加簽程序）
000348021,3.0,管理學,Management,何乾瑋,HO CHIEN-WEI,企管系,Department of Business Administration,三234,wed09-12,研究250206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/10/17;,＠備註Note:國貿一甲優先。第一堂課請務必出席。企管系本系生及雙修生不得修習本課。
000348031,3.0,管理學,Management,李瓊淑,LEE CHIUNG-SHU,企管系,Department of Business Administration,一78E,mon16-19,商館260207,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/09/06;,＠備註Note:國貿二甲優先。第一堂課請務必出席。企管系本系生及雙修生不得修習本課。
000348041,3.0,管理學,Management,黃家齊、潘博宇,HUANG JIA-CHI/PAN BO-YU,企管系,Department of Business Administration,五234,fri09-12,商館260207,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/09/09;教師異動於2024/08/19);,＠備註Note:國貿二乙優先。第一堂課請務必出席。企管系本系生及雙修生不得修習本課。授課老師：潘博宇
000348051,3.0,管理學,Management,林昱錡,LIN YU-CHI,企管系,Department of Business Administration,四D56,thu13-16,學思040205,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:國貿一乙優先。第一堂課請務必出席。企管系本系生及雙修生不得修習本課。授課老師：林昱錡
000350001,3.0,行銷管理,Marketing Management,陳冠儒,CHEN KUAN-JU,企管系,Department of Business Administration,三234,wed09-12,商館260713,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2024/09/24;,＠備註Note:第一堂課務必出席，未出席者請自行退選。先修經濟學和管理學；企管系學生（含雙修）不得選修本課。
000350011,3.0,行銷管理,Marketing Management,巫柏翰、陳冠儒,WU PO-HAN/CHEN KUAN-JU,企管系,Department of Business Administration,四234,thu09-12,學思040306,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，未出席者請自行退選。先修經濟學和管理學；企管系學生（含雙修）不得選修本課。
000350021,3.0,行銷管理,Marketing Management,費喬登,FEI CHIAO-DENG,企管系,Department of Business Administration,一D56,mon13-16,研究250306,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，未出席者請自行退選。先修濟學和管理學；企管系學生(含雙修)不得選修本課。
000350031,3.0,行銷管理,Marketing Management,白佩玉、陳姿伃,PAI PEI-YU/CHEN TZU-YU,企管系,Department of Business Administration,二234,tue09-12,寶來科技廳,必/Required,中文,否/No,＠異動資訊Information of alteration:教室異動於2024/09/09;,＠備註Note:第一堂課務必出席，未出席者請自行退選。先修濟學和管理學；企管系學生(含雙修)不得選修本課。
000351011,3.0,投資學,Investments,李志宏,LEE JIE-HAUN,財管系,Department of Finance,一D56,mon13-16,商館260207,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年。為利課程銜接，建議同學修課前需具有統計學基礎概念（Mean、Variance、Covariance、Correlation coefficient、Normal distribution 、Regression）
000351021,3.0,投資學,Investments,顏錫銘,YEN SIMON H .,財管系,Department of Finance,四D56,thu13-16,學思040301,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年。為利課程銜接，建議同學修課前需具有統計學基礎概念（Mean、Variance、Covariance、Correlation coefficient、Normal distribution 、Regression）
000351041,3.0,投資學,Investments,謝沛霖,HSIEH PEI-LIN,財管系,Department of Finance,二D56,tue13-16,學思040306,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年。為利課程銜接，建議同學修課前需具有統計學基礎概念（Mean、Variance、Covariance、Correlation coefficient、Normal distribution 、Regression）
